777129,201237.000,0.27,3640.3564,N,12145.6284,W,31.6,2,11
777241,201237.000,0.27,3640.3564,N,12145.6284,W,31.6,2,11
777353,201237.000,0.27,3640.3564,N,12145.6284,W,31.6,2,11
777465,201237.000,0.27,3640.3564,N,12145.6284,W,31.6,2,11
777577,201237.000,0.27,3640.3564,N,12145.6284,W,31.6,2,11
777689,201237.000,0.27,3640.3564,N,12145.6284,W,31.6,2,11
777801,201237.000,0.27,3640.3564,N,12145.6284,W,31.6,2,11
777913,201238.000,0.27,3640.3563,N,12145.6282,W,31.5,2,11
778029,201238.000,0.21,3640.3563,N,12145.6282,W,31.5,2,11
778141,201238.000,0.21,3640.3563,N,12145.6282,W,31.5,2,11
778253,201238.000,0.21,3640.3563,N,12145.6282,W,31.5,2,11
778392,201238.000,0.21,3640.3563,N,12145.6282,W,31.5,2,11
778504,201238.000,0.21,3640.3563,N,12145.6282,W,31.5,2,11
778616,201238.000,0.21,3640.3563,N,12145.6282,W,31.5,2,11
778728,201238.000,0.21,3640.3563,N,12145.6282,W,31.5,2,11
778840,201238.000,0.21,3640.3563,N,12145.6282,W,31.5,2,11
778956,201239.000,0.21,3640.3563,N,12145.6281,W,31.5,2,11
779068,201239.000,0.20,3640.3563,N,12145.6281,W,31.5,2,11
779180,201239.000,0.20,3640.3563,N,12145.6281,W,31.5,2,11
779292,201239.000,0.20,3640.3563,N,12145.6281,W,31.5,2,11
779404,201239.000,0.20,3640.3563,N,12145.6281,W,31.5,2,11
779516,201239.000,0.20,3640.3563,N,12145.6281,W,31.5,2,11
779628,201239.000,0.20,3640.3563,N,12145.6281,W,31.5,2,11
779740,201239.000,0.20,3640.3563,N,12145.6281,W,31.5,2,11
779856,201239.000,0.20,3640.3563,N,12145.6281,W,31.5,2,11
779968,201240.000,0.21,3640.3562,N,12145.6281,W,31.6,2,11
780080,201240.000,0.21,3640.3562,N,12145.6281,W,31.6,2,11
780192,201240.000,0.21,3640.3562,N,12145.6281,W,31.6,2,11
780304,201240.000,0.21,3640.3562,N,12145.6281,W,31.6,2,11
780416,201240.000,0.21,3640.3562,N,12145.6281,W,31.6,2,11
780528,201240.000,0.21,3640.3562,N,12145.6281,W,31.6,2,11
780640,201240.000,0.21,3640.3562,N,12145.6281,W,31.6,2,11
780752,201240.000,0.21,3640.3562,N,12145.6281,W,31.6,2,11
780868,201240.000,0.21,3640.3562,N,12145.6281,W,31.6,2,11
780980,201241.000,0.53,3640.3562,N,12145.6280,W,31.7,2,11
781092,201241.000,0.53,3640.3562,N,12145.6280,W,31.7,2,11
781204,201241.000,0.53,3640.3562,N,12145.6280,W,31.7,2,11
781316,201241.000,0.53,3640.3562,N,12145.6280,W,31.7,2,11
781439,201241.000,0.53,3640.3562,N,12145.6280,W,31.7,2,11
781567,201241.000,0.53,3640.3562,N,12145.6280,W,31.7,2,11
781679,201241.000,0.53,3640.3562,N,12145.6280,W,31.7,2,11
781798,201241.000,0.53,3640.3562,N,12145.6280,W,31.7,2,11
781910,201241.000,0.53,3640.3562,N,12145.6280,W,31.7,2,11
782021,201242.000,2.52,3640.3564,N,12145.6283,W,31.8,2,11
782133,201242.000,2.52,3640.3564,N,12145.6283,W,31.8,2,11
782245,201242.000,2.52,3640.3564,N,12145.6283,W,31.8,2,11
782356,201242.000,2.52,3640.3564,N,12145.6283,W,31.8,2,11
782468,201242.000,2.52,3640.3564,N,12145.6283,W,31.8,2,11
782580,201242.000,2.52,3640.3564,N,12145.6283,W,31.8,2,11
782696,201242.000,2.52,3640.3564,N,12145.6283,W,31.8,2,11
782808,201242.000,2.52,3640.3564,N,12145.6283,W,31.8,2,11
782919,201242.000,2.52,3640.3564,N,12145.6283,W,31.8,2,11
783031,201243.000,24.47,3640.3566,N,12145.6291,W,32.0,2,11
783143,201243.000,24.47,3640.3566,N,12145.6291,W,32.0,2,11
783254,201243.000,24.47,3640.3566,N,12145.6291,W,32.0,2,11
783366,201243.000,24.47,3640.3566,N,12145.6291,W,32.0,2,11
783478,201243.000,24.47,3640.3566,N,12145.6291,W,32.0,2,11
783594,201243.000,24.47,3640.3566,N,12145.6291,W,32.0,2,11
783706,201243.000,24.47,3640.3566,N,12145.6291,W,32.0,2,11
783817,201243.000,24.47,3640.3566,N,12145.6291,W,32.0,2,11
783929,201244.000,24.47,3640.3583,N,12145.6354,W,32.3,2,11
784041,201244.000,45.23,3640.3583,N,12145.6354,W,32.3,2,11
784152,201244.000,45.23,3640.3583,N,12145.6354,W,32.3,2,11
784264,201244.000,45.23,3640.3583,N,12145.6354,W,32.3,2,11
784376,201244.000,45.23,3640.3583,N,12145.6354,W,32.3,2,11
784514,201244.000,45.23,3640.3583,N,12145.6354,W,32.3,2,11
784626,201244.000,45.23,3640.3583,N,12145.6354,W,32.3,2,11
784753,201244.000,45.23,3640.3583,N,12145.6354,W,32.3,2,11
784865,201244.000,45.23,3640.3583,N,12145.6354,W,32.3,2,11
784977,201245.000,56.70,3640.3613,N,12145.6442,W,32.5,2,11
785088,201245.000,56.70,3640.3613,N,12145.6442,W,32.5,2,11
785200,201245.000,56.70,3640.3613,N,12145.6442,W,32.5,2,11
785312,201245.000,56.70,3640.3613,N,12145.6442,W,32.5,2,11
785423,201245.000,56.70,3640.3613,N,12145.6442,W,32.5,2,11
785539,201245.000,56.70,3640.3613,N,12145.6442,W,32.5,2,11
785651,201245.000,56.70,3640.3613,N,12145.6442,W,32.5,2,11
785762,201245.000,56.70,3640.3613,N,12145.6442,W,32.5,2,11
